31,30,28,39,38,36,48
43,26,29,39,46,38,29
37,28,28,39,27,46,45
45,30,23,42,35,34,41
45,30,30,40,30,35,40
47,25,21,37,47,38,35
35,29,30,31,36,49,40
28,27,29,42,44,41,39
29,27,28,35,41,43,47
43,29,27,33,48,40,30
35,30,24,44,40,40,37
38,29,29,41,39,34,40
39,30,28,42,42,37,32
33,28,30,36,45,31,47
44,30,27,33,47,32,37
36,27,30,48,42,30,37
33,24,30,42,46,34,41
36,25,30,48,33,39,39
31,29,28,47,40,45,30
33,27,30,43,51,31,35
42,27,30,39,24,53,35
35,30,30,37,31,40,47
42,30,30,39,36,39,34
34,30,29,40,37,38,42
44,30,26,41,34,38,37
40,27,29,40,39,35,40
46,30,27,38,31,39,39
40,30,27,46,31,41,35
38,30,29,39,42,35,37
32,30,25,32,38,43,50
