21,13,14,9,16,15,12
23,17,14,9,13,13,11
10,11,14,9,24,12,20
24,11,13,7,13,14,18
15,19,11,7,18,15,15
14,22,14,7,17,12,14
15,12,14,9,19,15,16
15,19,14,9,14,18,11
16,19,9,9,15,15,17
15,18,11,9,10,16,21
16,21,13,9,12,17,12
22,14,14,9,15,15,11
20,23,9,9,11,10,18
15,16,10,9,21,17,12
13,17,14,9,20,11,16
18,17,14,9,12,15,15
16,18,14,9,15,11,17
19,16,14,9,21,9,12
15,13,14,9,20,14,15
20,13,14,9,11,17,16
16,15,12,9,18,15,15
13,19,14,9,18,16,11
14,18,14,9,17,15,13
14,13,9,7,22,18,17
14,15,14,7,17,16,17
14,21,13,9,11,13,19
24,17,8,9,21,7,14
15,17,10,8,16,21,13
16,23,13,9,14,10,15
15,22,14,7,21,12,9
